A	N	T1/2	Nu	spin(halfs)
47	 113	19332	0.1592	-1
48	 100	0.000000073	9.95	16
48	 102	0.000000056	10.32	16
48	 103	438	-0.813	5
48	 105	3360	-0.73932	5
48	 106	0.0000073	0.82	4
48	 107	23400	-0.615055411	5
48	 108	0.0000068	0.72	4
48	 109	39139200	-0.827846115	5
48	 110	0.000005	0.5711	4
48	 111	0	-0.59488618	1
48	 112	0.0000062	0.62	4
48	 113	#VALUE!	-0.62230099	1
48	 114	0.000009	0.5814	4
48	 115	192240	-0.648425912	1
48	 116	0.000015	0.6014	4
49	 104	102	4.442	10
49	 105	304.2	5.6755	9
49	 106	372	4.9167	14
49	 107	#VALUE!	5.5858	9
49	 108	3480	4.5613	14
49	 109	15120	5.5384	9
49	 110	4146	4.3654	4
49	 111	244512	5.5037	9
49	 112	864	2.823	2
49	 113	0	5.52892	9
49	 114	71.9	2.81711	2
49	 115	#VALUE!	0	9
49	 116	14.1	2.78766	2
49	 117	2520	5.5194	9
49	 118	267	4.2319	10
49	 119	144	5.5151	9
49	 120	44.4	4.2955	10
49	 121	23.1	5.5025	9
49	 122	9.2	4.3185	10
49	 123	6.68	5.4917	9
49	 124	3.09	4.04311	6
49	 125	2.5	5.5029	9
49	 126	1.6	4.03411	6
49	 127	1.22	5.5228	9
50	 108	7.3E-09	-0.2412	12
50	 109	1080	-1.0796	5
50	 110	5.6E-09	0.073	12
50	 111	2100	0.6084	7
50	 112	0.00000035	0.73	4
50	 113	9936000	-0.87916	1
50	 114	0.00000028	0	4
50	 115	0	-0.918837	1
50	 116	0.00000036	-0.32	4
50	 117	0	-1.001047	1
50	 118	0.00000046	0.042	4
50	 119	0	-1.047287	1
50	 120	0.00000064	0	4
50	 121	97560	0.69781	3
50	 122	0.00000076	-0.12	4
50	 123	11145600	-1.37009	-11
50	 124	0.00000097	-0.32	4
50	 125	831168	-1.3482	-11
51	 112	0.000000536	2.1928	-16
51	 114	209.4	1.728	6
51	 115	1908	3.461	5
51	 116	960	2.7159	6
51	 117	10080	3.436	5
51	 118	216	2.477	2
51	 119	136800	3.451	5
51	 120	954	2.32	2
51	 121	0	3.36343	5
51	 122	231552	0	-4
51	 123	0	2.54982	7
51	 124	5201280	1.202	-6
51	 125	85147200	2.634	7
51	 126	1071360	1.287	-16
51	 127	331776	2.6976	7
51	 128	32760	1.32	-16
51	 129	15840	2.792	7
51	 131	1380	2.891	7
51	 133	150	3.001	7
52	 115	7.5E-15	-0.9545	-11
52	 117	1.91E-08	-0.78712	5
52	 119	57960	0.255	1
52	 120	0.0000093	0.7814	4
52	 121	13305600	0.8951	-11
52	 122	0.00000752	0.664	4
52	 123	#VALUE!	-0.73694788	1
52	 124	0.00000625	0.566	4
52	 125	0	-0.88850514	1
52	 126	0.00000441	0.628	4
52	 127	33840	0.6354	3
52	 128	0.0000032	0.506	4
52	 129	4170	0.7024	3
52	 130	0.0000023	0.581	4
52	 131	1500	0.6969	3
52	 132	0.000000145	4.75	12
52	 134	0.000000163	5.0815	12
52	 135	0.00000051	-3.84	-19
53	117	133.2	3.12	5
53	118	822	2.02	-4
53	119	1140	0	5
53	120	5040	1.233	-4
53	121	7560	2.31	-5
53	122	217.8	0.943	2
53	123	47880	2.8187	5
53	124	361152	1.4464	-4
53	125	5201280	2.8215	5
53	  126	1131840	1.4384	-4
53	127	0	2.813278	5
53	128	0.000000845	-0.723	-8
53	129	#VALUE!	2.62103	7
53	130	44496	3.3497	10
53	131	694656	2.7421	7
53	132	8208	3.0887	8
53	133	75240	2.8565	7
54	 117	61.2	0	5
54	 119	3480	0	5
54	 121	2340	0	5
54	 123	7200	0	1
54	 124	0.000056	0.464	4
54	 125	61560	0	1
54	 126	0.0000412	0.7414	4
54	 127	3144960	0	1
54	 128	0.0000214	0.8214	4
54	 129	0	-0.7779768	1
54	 130	0.00001	0.7614	4
54	 131	0	0	3
54	 132	0.0000049	0.741	4
54	 133	452736	0	3
54	 134	0.0000019	1.12	4
54	 135	32760	0	3
54	 136	0.00000021	2.45	4
54	 137	229.2	-0.9688	-7
54	 139	39.7	-0.3041	-3
54	 141	1.73	0.0104	5
54	 143	0.3	-0.459914	-5
55	 118	14	3.8765	4
55	 119	36	5.463	9
55	 120	64	3.872	4
55	 121	136.2	0.7704	3
55	 122	21	-0.13339	2
55	 123	348	1.3777	1
55	 124	30.8	0.6733	2
55	 125	2700	1.4097	1
55	 126	98.4	0.7774	2
55	 127	22320	1.4597	1
55	 128	217.2	0.9745	2
55	 129	116280	1.4918	1
55	 130	1794	1.4607	2
55	 131	837216	3.532	5
55	 132	559008	2.2227	-4
55	 133	0	2.5820253	7
55	 134	64964160	2.99379	8
55	 135	9.4608E+13	2.73242	7
55	 136	1140480	3.71115	10
55	 137	951441120	2.85137	7
55	 138	1932	0.7004	-6
55	 139	564	2.6964	7
55	 140	65	0.13389535	-2
55	 141	25.1	2.4381	7
55	 143	1.78	0.8704	3
55	 144	1	-0.5463	2
55	 145	0.59	0.7844	3
55	 146	0.34	-0.5152	2
56	 121	30	0.6601	5
56	 123	162	-0.6801	5
56	 125	210	0.17712	1
56	 127	762	0.08341	1
56	 129	8028	-0.402	1
56	 130	0.000037	0.706	4
56	 131	1019520	0.70811315	1
56	 132	0.000018	0.686	4
56	 133	337435200	0.771672	1
56	 134	0.0000051	0.861	4
56	 135	0	0.837942	3
56	 136	0.00000193	0.691	4
56	 137	0	0.937372	3
56	 138	0.000000206	1.42	4
56	 139	5076	-0.9735	-7
56	 141	1122	-0.3375	-3
56	 142	0.000066	0.851	4
56	 143	14.5	0.44311	5
56	 144	7E-10	0.681	4
56	 145	4.31	-0.2857	-5
56	 146	8.5E-10	0.5614	4
57	 133	0.00000006	7.55	-11
57	 135	0.00000005	0.02	27
57	 137	1.89216E+12	2.6956	7
57	 138	3.46896E+18	3.7136467	10
57	 139	0	2.78304559	7
57	 140	145080	0.73015	-6
58	 126	0.000008	0	20
58	 134	0.000000308	-1.872	20
58	 135	8.2E-09	-0.661	19
58	 136	2.2E-15	-1.802	20
58	 137	32400	0.964	3
58	 138	0.000000082	-1.703	20
58	 139	11888640	1.064	3
58	 140	9E-11	1.92	4
58	 141	2808000	1.094	-7
58	 142	0.0000057	0.421	4
58	 143	118800	0.432	-3
58	 146	2.5E-10	0.481	4
58	 148	1.01E-09	0.7412	4
59	 136	0.00000009	2.38	8
59	 139	0.000000045	6.65	-11
59	 141	0	4.27545	5
59	 142	69120	0.2341	-4
59	 143	1172448	2.7014	7
59	 144	1.2E-10	-1.24	-2
60	 134	0.000064	1.24	4
60	 135	744	-0.783	-9
60	 136	0.0000513	114	20
60	 137	2280	-0.6335	1
60	 138	0.00000033	-1.744	20
60	 139	1800	0.9077	3
60	 140	0.000000022	-1.9212	20
60	 141	8964	1.0129	3
60	 142	1.1E-10	1.6915	4
60	 143	0	-1.0655	-7
60	 144	0.00000451	0.324	4
60	 145	0	-0.6564	-7
60	 146	0.0000275	0.582	4
60	 147	950400	0.5783	-5
60	 148	0.0000783	0.704	4
60	 149	6228	0.3511	-5
60	 150	0.002142	0.761	4
61	 138	210	3.29	6
61	 143	22896000	3.85	5
61	 144	30153600	1.6914	-10
61	 145	558187200	3.8016	5
61	 147	82718928	2.587	7
61	 148	463968	2.12	-2
61	 149	191160	3.35	7
61	 151	102240	1.82	5
62	 138	5.5E-10	0	20
62	 139	154.2	-0.532	1
62	 140	1.94E-08	-1.82	20
62	 141	612	-0.742	1
62	 142	0.00000017	0.42	-14
62	 143	529.8	1.012	3
62	 144	8.5E-11	1.52	4
62	 145	29376000	-1.116	-7
62	 147	3.46896E+18	-0.8122	-7
62	 148	0.0000073	0.514	4
62	 149	#VALUE!	-0.667711	-7
62	 150	0.000049	0.775	4
62	 151	2838240000	-0.361113	-5
62	 152	1.4E-09	0.806	4
62	 153	168480	-0.0213	3
62	 154	3.01E-09	0.784	4
62	 155	1344	0	-3
63	 138	12.1	5.37	-12
63	 139	17.9	6.18	-11
63	 140	1.54	1.36513	2
63	 141	40	3.4948	5
63	 142	2.4	1.542	2
63	 143	156	3.6738	5
63	 144	10	1.89313	2
63	 145	512352	3.9993	5
63	 146	396576	1.4218	-8
63	 147	2082240	3.7366	5
63	 148	4708800	2.3401	-10
63	 149	8043840	3.5761	5
63	 150	1128988800	2.70811	-10
63	 151	0	3.47176	5
63	 152	426997440	-1.94018	-6
63	 153	0	1.53243	5
63	 154	271209600	-2.0056	-6
63	 155	147588480	1.522	5
63	 157	54720	1.502	5
63	 158	2754	1.442	-2
63	 159	1086	1.382	5
64	 144	0.00000013	12.7614	20
